Program,Year,Geo Level,State,Ag District,Ag District Code,County,County ANSI,Commodity,Avrage corn,Avrage soybeen ,CV (%)
SURVEY,2024,COUNTY,IOWA,SOUTHWEST,70,ADAIR,001,CORN,211.2,60.2,0.5
SURVEY,2022,COUNTY,IOWA,SOUTHWEST,70,ADAIR,001,CORN,164.2,47.5,2.3
SURVEY,2020,COUNTY,IOWA,SOUTHWEST,70,ADAIR,001,CORN,168.7,48.1,1.6
SURVEY,2019,COUNTY,IOWA,SOUTHWEST,70,ADAIR,001,CORN,176.5,53.3,2.6
SURVEY,2020,COUNTY,IOWA,SOUTHWEST,70,ADAMS,003,CORN,173.3,57.1,3.4
SURVEY,2024,COUNTY,IOWA,NORTHEAST,30,ALLAMAKEE,005,CORN,216.3,52.2,2.8
SURVEY,2023,COUNTY,IOWA,NORTHEAST,30,ALLAMAKEE,005,CORN,183.9,61.2,2.6
SURVEY,2022,COUNTY,IOWA,NORTHEAST,30,ALLAMAKEE,005,CORN,215.9,61.9,1.7
SURVEY,2021,COUNTY,IOWA,NORTHEAST,30,ALLAMAKEE,005,CORN,198.5,58.8,1.6
SURVEY,2020,COUNTY,IOWA,NORTHEAST,30,ALLAMAKEE,005,CORN,196.3,50.7,1.4
SURVEY,2019,COUNTY,IOWA,NORTHEAST,30,ALLAMAKEE,005,CORN,187.2,40.4,1.6
SURVEY,2023,COUNTY,IOWA,SOUTH CENTRAL,80,APPANOOSE,007,CORN,172.8,57.5,3.3
SURVEY,2022,COUNTY,IOWA,SOUTH CENTRAL,80,APPANOOSE,007,CORN,146.1,39.1,3.1
SURVEY,2021,COUNTY,IOWA,SOUTH CENTRAL,80,APPANOOSE,007,CORN,171.6,64.6,3.1
SURVEY,2020,COUNTY,IOWA,SOUTH CENTRAL,80,APPANOOSE,007,CORN,143.6,53.6,2.1
SURVEY,2019,COUNTY,IOWA,SOUTH CENTRAL,80,APPANOOSE,007,CORN,166.8,57.9,2.5
SURVEY,2024,COUNTY,IOWA,WEST CENTRAL,40,AUDUBON,009,CORN,224.2,67.3,2.2
SURVEY,2023,COUNTY,IOWA,WEST CENTRAL,40,AUDUBON,009,CORN,197.6,48.3,3
SURVEY,2022,COUNTY,IOWA,WEST CENTRAL,40,AUDUBON,009,CORN,197.9,58.9,2.8
SURVEY,2021,COUNTY,IOWA,WEST CENTRAL,40,AUDUBON,009,CORN,216,54,3.6
SURVEY,2020,COUNTY,IOWA,WEST CENTRAL,40,AUDUBON,009,CORN,170.8,66.1,2.4
SURVEY,2019,COUNTY,IOWA,WEST CENTRAL,40,AUDUBON,009,CORN,216,67.1,1.7
SURVEY,2024,COUNTY,IOWA,EAST CENTRAL,60,BENTON,011,CORN,238.6,56.7,1.4
SURVEY,2023,COUNTY,IOWA,EAST CENTRAL,60,BENTON,011,CORN,199.7,57.9,2.9
SURVEY,2022,COUNTY,IOWA,EAST CENTRAL,60,BENTON,011,CORN,221.7,57.2,2.7
SURVEY,2021,COUNTY,IOWA,EAST CENTRAL,60,BENTON,011,CORN,211.7,51.1,2.4
SURVEY,2020,COUNTY,IOWA,EAST CENTRAL,60,BENTON,011,CORN,144.8,64.5,1.6
SURVEY,2019,COUNTY,IOWA,EAST CENTRAL,60,BENTON,011,CORN,197.6,60.1,3.9
SURVEY,2024,COUNTY,IOWA,NORTHEAST,30,BLACK HAWK,013,CORN,205.9,54.2,2.9
SURVEY,2022,COUNTY,IOWA,NORTHEAST,30,BLACK HAWK,013,CORN,202.4,51.9,2.9
SURVEY,2021,COUNTY,IOWA,NORTHEAST,30,BLACK HAWK,013,CORN,193.6,66.3,1.9
SURVEY,2020,COUNTY,IOWA,NORTHEAST,30,BLACK HAWK,013,CORN,169.8,69.1,3.3
SURVEY,2019,COUNTY,IOWA,NORTHEAST,30,BLACK HAWK,013,CORN,205.1,60.4,2.6
SURVEY,2024,COUNTY,IOWA,CENTRAL,50,BOONE,015,CORN,217.6,64.4,2.5
SURVEY,2023,COUNTY,IOWA,CENTRAL,50,BOONE,015,CORN,226.5,50.9,2.1
SURVEY,2022,COUNTY,IOWA,CENTRAL,50,BOONE,015,CORN,202.4,53.2,3.1
SURVEY,2021,COUNTY,IOWA,CENTRAL,50,BOONE,015,CORN,208.4,56.9,2.8
SURVEY,2020,COUNTY,IOWA,CENTRAL,50,BOONE,015,CORN,160.7,54.5,2.8
SURVEY,2019,COUNTY,IOWA,CENTRAL,50,BOONE,015,CORN,194.8,66.7,2.9
SURVEY,2024,COUNTY,IOWA,NORTHEAST,30,BREMER,017,CORN,205.9,62,2.7
SURVEY,2023,COUNTY,IOWA,NORTHEAST,30,BREMER,017,CORN,199.9,52.5,4
SURVEY,2022,COUNTY,IOWA,NORTHEAST,30,BREMER,017,CORN,210.8,59.9,3.1
SURVEY,2021,COUNTY,IOWA,NORTHEAST,30,BREMER,017,CORN,200.1,51.8,1.8
SURVEY,2020,COUNTY,IOWA,NORTHEAST,30,BREMER,017,CORN,187.6,65,2
SURVEY,2019,COUNTY,IOWA,NORTHEAST,30,BREMER,017,CORN,212.5,63.4,2
SURVEY,2024,COUNTY,IOWA,NORTHEAST,30,BUCHANAN,019,CORN,220.8,56.7,2.8
SURVEY,2023,COUNTY,IOWA,NORTHEAST,30,BUCHANAN,019,CORN,190.7,55.2,5
SURVEY,2022,COUNTY,IOWA,NORTHEAST,30,BUCHANAN,019,CORN,209.7,61.1,3.8
SURVEY,2021,COUNTY,IOWA,NORTHEAST,30,BUCHANAN,019,CORN,209,57.2,2.8
SURVEY,2020,COUNTY,IOWA,NORTHEAST,30,BUCHANAN,019,CORN,188.3,63.8,1.9
SURVEY,2019,COUNTY,IOWA,NORTHEAST,30,BUCHANAN,019,CORN,218.9,53.5,2.4
SURVEY,2023,COUNTY,IOWA,NORTHWEST,10,BUENA VISTA,021,CORN,212,58.3,4.3
SURVEY,2022,COUNTY,IOWA,NORTHWEST,10,BUENA VISTA,021,CORN,196.9,50.9,2.5
SURVEY,2021,COUNTY,IOWA,NORTHWEST,10,BUENA VISTA,021,CORN,203.9,61.6,4.3
SURVEY,2020,COUNTY,IOWA,NORTHWEST,10,BUENA VISTA,021,CORN,183.9,60.8,2.5
SURVEY,2019,COUNTY,IOWA,NORTHWEST,10,BUENA VISTA,021,CORN,190.8,54.2,2.1
SURVEY,2024,COUNTY,IOWA,NORTH CENTRAL,20,BUTLER,023,CORN,209.8,55,2.4
SURVEY,2023,COUNTY,IOWA,NORTH CENTRAL,20,BUTLER,023,CORN,183.1,62.6,3.7
SURVEY,2022,COUNTY,IOWA,NORTH CENTRAL,20,BUTLER,023,CORN,212.4,57.4,2.5
SURVEY,2021,COUNTY,IOWA,NORTH CENTRAL,20,BUTLER,023,CORN,204.5,61.2,1.9
SURVEY,2020,COUNTY,IOWA,NORTH CENTRAL,20,BUTLER,023,CORN,192.8,63.5,1.2
SURVEY,2019,COUNTY,IOWA,NORTH CENTRAL,20,BUTLER,023,CORN,209.5,47.7,3.3
SURVEY,2024,COUNTY,IOWA,WEST CENTRAL,40,CALHOUN,025,CORN,228.8,55.1,3.5
SURVEY,2023,COUNTY,IOWA,WEST CENTRAL,40,CALHOUN,025,CORN,201.6,67.6,2.6
SURVEY,2022,COUNTY,IOWA,WEST CENTRAL,40,CALHOUN,025,CORN,202.3,56.8,3.9
SURVEY,2021,COUNTY,IOWA,WEST CENTRAL,40,CALHOUN,025,CORN,217.8,58.9,2.2
SURVEY,2020,COUNTY,IOWA,WEST CENTRAL,40,CALHOUN,025,CORN,159.6,65.3,1
SURVEY,2019,COUNTY,IOWA,WEST CENTRAL,40,CALHOUN,025,CORN,198.8,54.8,1.3
SURVEY,2024,COUNTY,IOWA,WEST CENTRAL,40,CARROLL,027,CORN,240.9,58.8,1.6
SURVEY,2023,COUNTY,IOWA,WEST CENTRAL,40,CARROLL,027,CORN,196.7,61.1,2.1
SURVEY,2022,COUNTY,IOWA,WEST CENTRAL,40,CARROLL,027,CORN,195.7,51.2,2.6
SURVEY,2021,COUNTY,IOWA,WEST CENTRAL,40,CARROLL,027,CORN,218.3,63.3,4.3
SURVEY,2020,COUNTY,IOWA,WEST CENTRAL,40,CARROLL,027,CORN,150.6,49.3,1.8
SURVEY,2019,COUNTY,IOWA,WEST CENTRAL,40,CARROLL,027,CORN,219.7,56.9,1.2
SURVEY,2024,COUNTY,IOWA,SOUTHWEST,70,CASS,029,CORN,217,66.5,1
SURVEY,2022,COUNTY,IOWA,SOUTHWEST,70,CASS,029,CORN,179.2,62.2,2.2
SURVEY,2021,COUNTY,IOWA,SOUTHWEST,70,CASS,029,CORN,212.4,67,0.9
SURVEY,2020,COUNTY,IOWA,SOUTHWEST,70,CASS,029,CORN,177.5,65.3,2.6
SURVEY,2019,COUNTY,IOWA,SOUTHWEST,70,CASS,029,CORN,200.3,56.4,1.6
SURVEY,2024,COUNTY,IOWA,EAST CENTRAL,60,CEDAR,031,CORN,236.2,60.8,1.8
SURVEY,2023,COUNTY,IOWA,EAST CENTRAL,60,CEDAR,031,CORN,205.7,61,1.6
SURVEY,2022,COUNTY,IOWA,EAST CENTRAL,60,CEDAR,031,CORN,221.4,59.8,1.6
SURVEY,2021,COUNTY,IOWA,EAST CENTRAL,60,CEDAR,031,CORN,207.1,52.7,2.6
SURVEY,2020,COUNTY,IOWA,EAST CENTRAL,60,CEDAR,031,CORN,153.3,60.2,3.1
SURVEY,2019,COUNTY,IOWA,EAST CENTRAL,60,CEDAR,031,CORN,193.7,65.9,3.2
SURVEY,2024,COUNTY,IOWA,NORTH CENTRAL,20,CERRO GORDO,033,CORN,199.7,59.6,2.7
SURVEY,2022,COUNTY,IOWA,NORTH CENTRAL,20,CERRO GORDO,033,CORN,216.9,57.2,1.4
SURVEY,2021,COUNTY,IOWA,NORTH CENTRAL,20,CERRO GORDO,033,CORN,200,58.8,2.1
SURVEY,2020,COUNTY,IOWA,NORTH CENTRAL,20,CERRO GORDO,033,CORN,182.5,58.4,2.3
SURVEY,2019,COUNTY,IOWA,NORTH CENTRAL,20,CERRO GORDO,033,CORN,191.8,52,2.7
SURVEY,2024,COUNTY,IOWA,NORTHWEST,10,CHEROKEE,035,CORN,207.1,63.6,2.2
SURVEY,2023,COUNTY,IOWA,NORTHWEST,10,CHEROKEE,035,CORN,211.7,55.9,2.9
SURVEY,2022,COUNTY,IOWA,NORTHWEST,10,CHEROKEE,035,CORN,198.7,54.5,4.5
SURVEY,2020,COUNTY,IOWA,NORTHWEST,10,CHEROKEE,035,CORN,185.7,40.2,1.7
SURVEY,2019,COUNTY,IOWA,NORTHWEST,10,CHEROKEE,035,CORN,208.9,57.7,3.6
SURVEY,2024,COUNTY,IOWA,NORTHEAST,30,CHICKASAW,037,CORN,206.5,45.9,2.8
SURVEY,2023,COUNTY,IOWA,NORTHEAST,30,CHICKASAW,037,CORN,198.9,49.4,2.6
SURVEY,2022,COUNTY,IOWA,NORTHEAST,30,CHICKASAW,037,CORN,214.6,62.1,2.1
SURVEY,2021,COUNTY,IOWA,NORTHEAST,30,CHICKASAW,037,CORN,208.2,56.9,1.4
SURVEY,2020,COUNTY,IOWA,NORTHEAST,30,CHICKASAW,037,CORN,185.7,62.4,1.9
SURVEY,2019,COUNTY,IOWA,NORTHEAST,30,CHICKASAW,037,CORN,212.1,50.3,1.3
SURVEY,2024,COUNTY,IOWA,SOUTH CENTRAL,80,CLARKE,039,CORN,183.9,50.9,3.1
SURVEY,2020,COUNTY,IOWA,SOUTH CENTRAL,80,CLARKE,039,CORN,155.2,53.6,2.8
SURVEY,2024,COUNTY,IOWA,NORTHWEST,10,CLAY,041,CORN,176.1,64.5,1.6
SURVEY,2023,COUNTY,IOWA,NORTHWEST,10,CLAY,041,CORN,203.9,60.1,3.2
SURVEY,2022,COUNTY,IOWA,NORTHWEST,10,CLAY,041,CORN,191.4,56.4,1.6
SURVEY,2021,COUNTY,IOWA,NORTHWEST,10,CLAY,041,CORN,203.3,65.2,3
SURVEY,2020,COUNTY,IOWA,NORTHWEST,10,CLAY,041,CORN,168.1,58.8,3.5
SURVEY,2019,COUNTY,IOWA,NORTHWEST,10,CLAY,041,CORN,185.5,66,1.6
SURVEY,2024,COUNTY,IOWA,NORTHEAST,30,CLAYTON,043,CORN,220.2,63.9,2.2
SURVEY,2023,COUNTY,IOWA,NORTHEAST,30,CLAYTON,043,CORN,201.1,57,2.2
SURVEY,2022,COUNTY,IOWA,NORTHEAST,30,CLAYTON,043,CORN,215.4,59.5,3.5
SURVEY,2021,COUNTY,IOWA,NORTHEAST,30,CLAYTON,043,CORN,195.3,62.5,3.3
SURVEY,2020,COUNTY,IOWA,NORTHEAST,30,CLAYTON,043,CORN,191.1,53.6,1.3
SURVEY,2019,COUNTY,IOWA,NORTHEAST,30,CLAYTON,043,CORN,197.5,62.8,1.6
SURVEY,2024,COUNTY,IOWA,EAST CENTRAL,60,CLINTON,045,CORN,235.9,63.5,3.8
SURVEY,2023,COUNTY,IOWA,EAST CENTRAL,60,CLINTON,045,CORN,198,54.2,2.1
SURVEY,2022,COUNTY,IOWA,EAST CENTRAL,60,CLINTON,045,CORN,225.2,61.9,4.1
SURVEY,2021,COUNTY,IOWA,EAST CENTRAL,60,CLINTON,045,CORN,206.5,64.5,3.4
SURVEY,2020,COUNTY,IOWA,EAST CENTRAL,60,CLINTON,045,CORN,178.4,60.8,1.2
SURVEY,2019,COUNTY,IOWA,EAST CENTRAL,60,CLINTON,045,CORN,196.1,59.8,2.8
SURVEY,2024,COUNTY,IOWA,WEST CENTRAL,40,CRAWFORD,047,CORN,214.2,63.6,2.6
SURVEY,2023,COUNTY,IOWA,WEST CENTRAL,40,CRAWFORD,047,CORN,187.9,47.1,2.6
SURVEY,2022,COUNTY,IOWA,WEST CENTRAL,40,CRAWFORD,047,CORN,216.4,54.4,2
SURVEY,2021,COUNTY,IOWA,WEST CENTRAL,40,CRAWFORD,047,CORN,218.5,59.1,2.8
SURVEY,2020,COUNTY,IOWA,WEST CENTRAL,40,CRAWFORD,047,CORN,181.2,53.4,1.2
SURVEY,2019,COUNTY,IOWA,WEST CENTRAL,40,CRAWFORD,047,CORN,234.7,44.6,2.6
SURVEY,2023,COUNTY,IOWA,CENTRAL,50,DALLAS,049,CORN,210.9,56.7,3.9
SURVEY,2022,COUNTY,IOWA,CENTRAL,50,DALLAS,049,CORN,187.2,42,2.4
SURVEY,2021,COUNTY,IOWA,CENTRAL,50,DALLAS,049,CORN,209.9,54.6,2.9
SURVEY,2020,COUNTY,IOWA,CENTRAL,50,DALLAS,049,CORN,139.7,51.2,3.8
SURVEY,2019,COUNTY,IOWA,CENTRAL,50,DALLAS,049,CORN,195,37.9,2.1
SURVEY,2024,COUNTY,IOWA,SOUTHEAST,90,DAVIS,051,CORN,194.9,57,4.2
SURVEY,2023,COUNTY,IOWA,SOUTHEAST,90,DAVIS,051,CORN,179.8,47.4,1.7
SURVEY,2022,COUNTY,IOWA,SOUTHEAST,90,DAVIS,051,CORN,154.9,60.9,4.3
SURVEY,2021,COUNTY,IOWA,SOUTHEAST,90,DAVIS,051,CORN,152.5,52.3,5.7
SURVEY,2020,COUNTY,IOWA,SOUTHEAST,90,DAVIS,051,CORN,170,67.4,3.4
SURVEY,2019,COUNTY,IOWA,SOUTHEAST,90,DAVIS,051,CORN,160,66.4,5.1
SURVEY,2024,COUNTY,IOWA,SOUTH CENTRAL,80,DECATUR,053,CORN,172.2,61.1,3
SURVEY,2023,COUNTY,IOWA,SOUTH CENTRAL,80,DECATUR,053,CORN,205.3,65.6,2.9
SURVEY,2022,COUNTY,IOWA,SOUTH CENTRAL,80,DECATUR,053,CORN,148.7,66.9,1.6
SURVEY,2020,COUNTY,IOWA,SOUTH CENTRAL,80,DECATUR,053,CORN,159.3,60.7,3
SURVEY,2024,COUNTY,IOWA,NORTHEAST,30,DELAWARE,055,CORN,219.5,55.1,3.7
SURVEY,2023,COUNTY,IOWA,NORTHEAST,30,DELAWARE,055,CORN,198.9,46.1,4.1
SURVEY,2022,COUNTY,IOWA,NORTHEAST,30,DELAWARE,055,CORN,230.8,56.8,2.4
SURVEY,2021,COUNTY,IOWA,NORTHEAST,30,DELAWARE,055,CORN,218,58.8,3.2
SURVEY,2020,COUNTY,IOWA,NORTHEAST,30,DELAWARE,055,CORN,190.4,56,1.8
SURVEY,2019,COUNTY,IOWA,NORTHEAST,30,DELAWARE,055,CORN,204.5,55.5,2.6
SURVEY,2024,COUNTY,IOWA,SOUTHEAST,90,DES MOINES,057,CORN,221.8,51.3,2.7
SURVEY,2023,COUNTY,IOWA,SOUTHEAST,90,DES MOINES,057,CORN,207.9,57,3.2
SURVEY,2022,COUNTY,IOWA,SOUTHEAST,90,DES MOINES,057,CORN,194.8,68.6,2.6
SURVEY,2020,COUNTY,IOWA,SOUTHEAST,90,DES MOINES,057,CORN,190.2,70.5,2.3
SURVEY,2019,COUNTY,IOWA,SOUTHEAST,90,DES MOINES,057,CORN,176.9,60.2,2.3
SURVEY,2024,COUNTY,IOWA,NORTHWEST,10,DICKINSON,059,CORN,160.8,62.8,2.1
SURVEY,2023,COUNTY,IOWA,NORTHWEST,10,DICKINSON,059,CORN,201.3,59.6,2.8
SURVEY,2022,COUNTY,IOWA,NORTHWEST,10,DICKINSON,059,CORN,203.4,56,3.3
SURVEY,2021,COUNTY,IOWA,NORTHWEST,10,DICKINSON,059,CORN,177.7,56.3,2.7
SURVEY,2020,COUNTY,IOWA,NORTHWEST,10,DICKINSON,059,CORN,182.2,54.5,1.8
SURVEY,2019,COUNTY,IOWA,NORTHWEST,10,DICKINSON,059,CORN,170,63.4,4.6
SURVEY,2024,COUNTY,IOWA,NORTHEAST,30,DUBUQUE,061,CORN,221.7,64.4,2.1
SURVEY,2023,COUNTY,IOWA,NORTHEAST,30,DUBUQUE,061,CORN,199.5,55.9,2.6
SURVEY,2022,COUNTY,IOWA,NORTHEAST,30,DUBUQUE,061,CORN,223.7,55.5,4.9
SURVEY,2021,COUNTY,IOWA,NORTHEAST,30,DUBUQUE,061,CORN,217.2,55.6,3.2
SURVEY,2020,COUNTY,IOWA,NORTHEAST,30,DUBUQUE,061,CORN,197.1,52.8,1.8
SURVEY,2019,COUNTY,IOWA,NORTHEAST,30,DUBUQUE,061,CORN,216.4,61.9,3.3
SURVEY,2022,COUNTY,IOWA,NORTHWEST,10,EMMET,063,CORN,213.6,54,2.5
SURVEY,2021,COUNTY,IOWA,NORTHWEST,10,EMMET,063,CORN,182.5,54.3,1.5
SURVEY,2020,COUNTY,IOWA,NORTHWEST,10,EMMET,063,CORN,186.1,58.2,2
SURVEY,2024,COUNTY,IOWA,NORTHEAST,30,FAYETTE,065,CORN,201.2,59.4,1.2
SURVEY,2023,COUNTY,IOWA,NORTHEAST,30,FAYETTE,065,CORN,205.9,62.8,2.1
SURVEY,2022,COUNTY,IOWA,NORTHEAST,30,FAYETTE,065,CORN,209.8,59.7,2.6
SURVEY,2021,COUNTY,IOWA,NORTHEAST,30,FAYETTE,065,CORN,205.6,55.4,3.3
SURVEY,2020,COUNTY,IOWA,NORTHEAST,30,FAYETTE,065,CORN,180.1,54.1,2.5
SURVEY,2019,COUNTY,IOWA,NORTHEAST,30,FAYETTE,065,CORN,200.5,53.4,3.4
